image_id,timestamp,original_filename,original_filepath,file_size,model_a_filepath,model_a_inference_time,model_a_detection_count,model_b_filepath,model_b_inference_time,model_b_detection_count
e7ff98e1-352e-4b54-ad1a-0815f64c165c,2025-04-23 13:05:27.693011,Struthio_camelus_-_Etosha_2014_3.jpg,/app/originals/e7ff98e1-352e-4b54-ad1a-0815f64c165c_Struthio_camelus_-_Etosha_2014_3.jpg,1612722,/app/static/classified/model_a/e7ff98e1-352e-4b54-ad1a-0815f64c165c_Struthio_camelus_-_Etosha_2014_3_processed_20250423130523400319.jpg,3.8760695457458496,3,/app/static/classified/model_b/e7ff98e1-352e-4b54-ad1a-0815f64c165c_Struthio_camelus_-_Etosha_2014_3_processed_20250423130527640726.jpg,4.187282562255859,3
5bbc3d99-4f13-4b9f-a029-ba2227bb59a4,2025-04-23 13:17:03.912102,group-of-young-common-ostrich-struthio-camelus-walking-together-on-the-open-plains-and-looking-around-2F9X2MA.jpg,/app/originals/5bbc3d99-4f13-4b9f-a029-ba2227bb59a4_group-of-young-common-ostrich-struthio-camelus-walking-together-on-the-open-plains-and-looking-around-2F9X2MA.jpg,140771,/app/static/classified/model_a/5bbc3d99-4f13-4b9f-a029-ba2227bb59a4_group-of-young-common-ostrich-struthio-camelus-walking-together-on-the-open-plains-and-looking-around-2F9X2MA_processed_20250423131700215382.jpg,3.4123847484588623,1,/app/static/classified/model_b/5bbc3d99-4f13-4b9f-a029-ba2227bb59a4_group-of-young-common-ostrich-struthio-camelus-walking-together-on-the-open-plains-and-looking-around-2F9X2MA_processed_20250423131703878958.jpg,3.6290574073791504,2
7382a5b3-f874-4152-9cbb-6a262099e2ef,2025-04-23 13:17:40.169619,group-of-young-common-ostrich-struthio-camelus-walking-together-on-the-open-plains-and-looking-around-2F9X2MA.jpg,/app/originals/7382a5b3-f874-4152-9cbb-6a262099e2ef_group-of-young-common-ostrich-struthio-camelus-walking-together-on-the-open-plains-and-looking-around-2F9X2MA.jpg,140771,/app/static/classified/model_a/7382a5b3-f874-4152-9cbb-6a262099e2ef_group-of-young-common-ostrich-struthio-camelus-walking-together-on-the-open-plains-and-looking-around-2F9X2MA_processed_20250423131737801279.jpg,2.216700315475464,1,/app/static/classified/model_b/7382a5b3-f874-4152-9cbb-6a262099e2ef_group-of-young-common-ostrich-struthio-camelus-walking-together-on-the-open-plains-and-looking-around-2F9X2MA_processed_20250423131740137041.jpg,2.3060221672058105,2
1bc86873-f80a-4eae-bf48-4d4b49abeda0,2025-04-23 13:31:30.379185,Struthio_camelus_-_Etosha_2014_3.jpg,/app/originals/1bc86873-f80a-4eae-bf48-4d4b49abeda0_Struthio_camelus_-_Etosha_2014_3.jpg,1612722,/app/static/classified/model_a/1bc86873-f80a-4eae-bf48-4d4b49abeda0_Struthio_camelus_-_Etosha_2014_3_processed_20250423133126146452.jpg,3.9437856674194336,3,/app/static/classified/model_b/1bc86873-f80a-4eae-bf48-4d4b49abeda0_Struthio_camelus_-_Etosha_2014_3_processed_20250423133130332108.jpg,4.133459806442261,3
06b9a764-179b-4bcf-814c-2c417fdc3e3c,2025-04-23 13:32:14.199101,Struthio_camelus_-_Etosha_2014_3.jpg,/app/originals/06b9a764-179b-4bcf-814c-2c417fdc3e3c_Struthio_camelus_-_Etosha_2014_3.jpg,1612722,/app/static/classified/model_a/06b9a764-179b-4bcf-814c-2c417fdc3e3c_Struthio_camelus_-_Etosha_2014_3_processed_20250423133211185252.jpg,2.7987499237060547,3,/app/static/classified/model_b/06b9a764-179b-4bcf-814c-2c417fdc3e3c_Struthio_camelus_-_Etosha_2014_3_processed_20250423133214151890.jpg,2.9168972969055176,3
6f373902-604b-49d1-9080-8ca488caa233,2025-04-23 13:38:28.207865,maxresdefault.jpg,/app/originals/6f373902-604b-49d1-9080-8ca488caa233_maxresdefault.jpg,65001,/app/static/classified/model_a/6f373902-604b-49d1-9080-8ca488caa233_maxresdefault_processed_20250423133824787162.jpg,3.097846508026123,1,/app/static/classified/model_b/6f373902-604b-49d1-9080-8ca488caa233_maxresdefault_processed_20250423133828186114.jpg,3.3750267028808594,1
4fd70ada-1ff1-486b-8641-c8a755eac90a,2025-04-23 13:38:40.700944,maxresdefault.jpg,/app/originals/4fd70ada-1ff1-486b-8641-c8a755eac90a_maxresdefault.jpg,65001,/app/static/classified/model_a/4fd70ada-1ff1-486b-8641-c8a755eac90a_maxresdefault_processed_20250423133838574784.jpg,1.9551103115081787,1,/app/static/classified/model_b/4fd70ada-1ff1-486b-8641-c8a755eac90a_maxresdefault_processed_20250423133840679059.jpg,2.080608606338501,1
f9b7f9c0-6d11-4222-97ad-a83cada7b746,2025-04-23 13:47:19.481842,maxresdefault.jpg,/app/originals/f9b7f9c0-6d11-4222-97ad-a83cada7b746_maxresdefault.jpg,65001,/app/static/classified/model_a/f9b7f9c0-6d11-4222-97ad-a83cada7b746_maxresdefault_processed_20250423134717325879.jpg,1.9888455867767334,1,/app/static/classified/model_b/f9b7f9c0-6d11-4222-97ad-a83cada7b746_maxresdefault_processed_20250423134719459873.jpg,2.1116018295288086,1
582fa993-da13-40f2-9d74-6a6c2578cc43,2025-04-23 13:48:06.354684,maxresdefault.jpg,/app/originals/582fa993-da13-40f2-9d74-6a6c2578cc43_maxresdefault.jpg,65001,/app/static/classified/model_a/582fa993-da13-40f2-9d74-6a6c2578cc43_maxresdefault_processed_20250423134802914064.jpg,3.0481910705566406,1,/app/static/classified/model_b/582fa993-da13-40f2-9d74-6a6c2578cc43_maxresdefault_processed_20250423134806332120.jpg,3.3946080207824707,1
8391859f-83f2-45ba-b10f-f137702960d1,2025-04-23 13:48:19.794278,maxresdefault.jpg,/app/originals/8391859f-83f2-45ba-b10f-f137702960d1_maxresdefault.jpg,65001,/app/static/classified/model_a/8391859f-83f2-45ba-b10f-f137702960d1_maxresdefault_processed_20250423134817607991.jpg,1.97944974899292,1,/app/static/classified/model_b/8391859f-83f2-45ba-b10f-f137702960d1_maxresdefault_processed_20250423134819771254.jpg,2.135645866394043,1
